,Title,MPAA Rating,Keywords,Source,Production method,Creative type,Countries,Total original B.O
74,The Nun's Story,['Not Rated'],['Religious'],['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],12800000.0
75,Psycho,['R'],"['White Collar Crime', 'Serial Killer', 'Hallucinations', 'Surprise Twist', 'Mental Illness', 'Fugitive / On the Run', 'Cross-Dressing', 'Psychological Horror']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],32002177.0
76,Spartacus,['PG-13'],"['Political', 'Romance', 'Historical Drama', 'Government Corruption', 'Other_Keywords', 'Inspired by a True Story']",['Based on Fiction Book/Short Story'],['Live Action'],['Dramatization'],['United States'],60000000.0
77,Elmer Gantry,['Not Rated'],"['Romance', 'Confidence Men', 'Relationships Gone Wrong', 'Religious', 'Blackmail', 'Other_Keywords', 'Life Drama', 'Love Triangle', 'Prostitution']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],10400064.0
78,The Alamo,['PG-13'],['War'],['Original Screenplay'],['Live Action'],['Historical Fiction'],['United States'],7900000.0
79,Midnight Lace,['Not Rated'],"['White Collar Crime', 'Relationships Gone Wrong', 'Infidelity', 'Other_Keywords', 'Money Troubles', 'Crime Thriller']",['Based on Play'],['Live Action'],['Contemporary Fiction'],['United States'],7400000.0
80,101 Dalmatians,['G'],"['Kidnap', 'Rescue', 'Voiceover/Narration', 'Talking Animals', 'Animal Lead', 'Other_Keywords']",['Based on Fiction Book/Short Story'],['Hand Animation'],['Contemporary Fiction'],['United States'],153302565.0
81,West Side Story,['Not Rated'],['Gangs'],['Based on Play'],['Live Action'],['Contemporary Fiction'],['United States'],47596274.0
82,The Absent Minded Professor,['Not Rated'],"['Romance', 'Relationships Gone Wrong', 'Other_Keywords', 'Family Comedy']",['Original Screenplay'],['Live Action'],['Science Fiction'],['United States'],25381407.0
83,King of Kings,['PG-13'],"['Faith-Based Film', 'Other_Keywords']",['Based on Real Life Events'],['Live Action'],['Factual'],['United States'],14483352.0
84,Judgment at Nuremberg,['Not Rated'],"['1940s', 'World War II', 'Other_Keywords']",['Based on Real Life Events'],['Live Action'],['Dramatization'],['United States'],10000000.0
85,Return to Peyton Place,['Not Rated'],"['Life Drama', 'Life in a Small Town', 'Writing and Writers', 'Other_Keywords']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],9996178.0
86,Breakfast at Tiffany's,['Not Rated'],"['Romance', 'Other_Keywords']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],9785771.0
87,The Longest Day,['G'],"['Gratuitous Cameos', 'Action Adventure', 'World War II', 'Other_Keywords', 'War']",['Based on Real Life Events'],['Live Action'],['Dramatization'],['United States'],50100000.0
88,Lawrence of Arabia,['PG'],"['Biography', 'Other_Keywords']",['Based on Fiction Book/Short Story'],['Live Action'],['Dramatization'],"['United Kingdom', 'United States']",69995047.0
89,To Kill A Mockingbird,['Not Rated'],"['Sex Crimes', 'Death of a Spouse or Fiancée / Fiancé', 'Framed', 'Voiceover/Narration', 'Bigotry', 'Young Child Dealing with the Death of a Parent', 'Life in a Small Town', 'Lawyers', 'Dysfunctional Family', 'Other_Keywords', 'New Guy/Girl in School', 'Addiction', 'Coming of Age']",['Based on Fiction Book/Short Story'],['Live Action'],['Historical Fiction'],['United States'],13129846.0
90,Bon Voyage!,['Not Rated'],"['Romance', 'Family Comedy', 'Dysfunctional Family', 'Other_Keywords', 'First Love']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],9230769.0
91,Days of Wine and Roses,['Not Rated'],"['Romance', 'Novel or Other Work Adapted by Author', 'Relationships Gone Wrong', 'Other_Keywords', 'Life Drama', 'Addiction', 'Remake']",['Based on TV'],['Live Action'],['Contemporary Fiction'],['United States'],8123077.0
92,The Manchurian Candidate,['PG-13'],"['Political', 'Voiceover/Narration', 'Film Noir', 'Faulty Memory', 'Hitmen', 'Conspiracy Theory', 'Prologue', 'Other_Keywords']",['Based on Fiction Book/Short Story'],['Live Action'],['Historical Fiction'],['United States'],7716923.0
93,Cleopatra,['G'],"['Historical Drama', 'Other_Keywords']",['Based on Real Life Events'],['Live Action'],['Dramatization'],['United States'],71000000.0
94,It's a Mad Mad Mad Mad World,['Not Rated'],"['In a Plane', 'Corrupt Cops', 'Car Accident', 'Gratuitous Cameos', 'Accidental Death', 'Life on the Outside', 'Dysfunctional Family', 'Other_Keywords']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],60000000.0
95,Dr. No,['PG'],"['Secret Agent', 'Martial Arts', 'Action Adventure', 'Hitmen', 'Other_Keywords']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United Kingdom'],59567035.0
96,The V.I.P.s,['Not Rated'],"['Relationships Gone Wrong', 'Comedy Drama', 'Infidelity', 'Ensemble', 'Other_Keywords', 'Money Troubles', 'Love Triangle']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United Kingdom'],15000000.0
97,Charade,['Not Rated'],['Romance'],['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],13474929.0
98,"Move Over, Darling",['Not Rated'],['Romance'],['Remake'],['Live Action'],['Contemporary Fiction'],['United States'],12705882.0
99,The Great Escape,['Not Rated'],"['Ensemble', 'World War II', 'Prison Break', 'Other_Keywords', 'Inspired by a True Story', 'Intertitle', 'War Drama', 'War']",['Based on Real Life Events'],['Live Action'],['Historical Fiction'],['United States'],11972799.0
100,The Birds,['PG-13'],"['Disaster', 'Animals Gone Bad', 'Animal Lead', 'Directing Yourself', 'Other_Keywords']",['Based on Fiction Book/Short Story'],['Live Action'],['Science Fiction'],['United States'],11436929.0
101,Blood Feast,['Not Rated'],"['Food', 'Cult Movie', 'Serial Killer', 'Other_Keywords']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],4000000.0
102,Mary Poppins,['G'],"['Breaking the Fourth Wall', 'Fired', 'Dysfunctional Family', 'Other_Keywords', 'Same Actor, Multiple Roles']",['Based on Fiction Book/Short Story'],['Animation/Live Action'],['Kids Fiction'],['United States'],102296470.0
103,My Fair Lady,['G'],"['Other_Keywords', 'Oscars Best Picture Winner']",['Based on Musical or Opera'],['Live Action'],['Historical Fiction'],['United States'],72072607.0
104,Goldfinger,['PG'],"['Visual Effects', 'Secret Agent']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United Kingdom'],124900000.0
105,The Carpetbaggers,['PG'],"['Romance', 'Relationships Gone Wrong', 'Posthumous Release', 'Voiceover/Narration', 'Other_Keywords', 'Ensemble', 'Romantic Drama', 'Mental Illness', 'Prologue', 'Inheritance', 'Domestic Abuse', 'Dysfunctional Family', 'Addiction', 'Death of a Sibling']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],28409547.0
106,From Russia With Love,['PG'],"['Action Thriller', 'Secret Agent', 'Other_Keywords']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United Kingdom'],78900000.0
107,Dr. Strangelove,['PG'],"['Novel or Other Work Adapted by Author', 'In a Plane', 'Same Actor, Multiple Roles', 'Other_Keywords', 'Black Comedy']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],"['United Kingdom', 'United States']",9240557.0
108,Becket,['PG-13'],"['Biography', 'Biographical Drama', 'Religious', 'Other_Keywords', 'Royalty']",['Based on Play'],['Live Action'],['Dramatization'],"['United Kingdom', 'United States']",9164370.0
109,Zorba the Greek,['Not Rated'],['Other_Keywords'],['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],"['Other_Countries', 'United States']",9000000.0
110,Marnie,['PG'],"['White Collar Crime', 'Sex Crimes', 'False Identity', 'Relationships Gone Wrong', 'Blackmail', 'Dysfunctional Family', 'Other_Keywords', 'Psychological Thriller', 'Prostitution']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],7008922.0
111,The Fall of the Roman Empire,['Not Rated'],"['Epilogue', 'Political', 'Historical Drama', 'Infidelity', 'Voiceover/Narration', 'Government Corruption', 'Dysfunctional Family', 'Other_Keywords', 'War']",['Based on Factual Book/Article'],['Live Action'],['Dramatization'],['United States'],4750000.0
112,The Sound of Music,['G'],"['Widow/Widower', 'Oscars Best Picture Winner', 'Other_Keywords']",['Based on Fiction Book/Short Story'],['Live Action'],['Historical Fiction'],['United States'],286213504.0
113,Doctor Zhivago,['PG-13'],"['Romantic Drama', 'Other_Keywords']",['Based on Fiction Book/Short Story'],['Live Action'],['Historical Fiction'],"['United Kingdom', 'Italy']",112040388.0
114,The Great Race,['Not Rated'],"['Romance', 'Farcical / Slapstick Comedy', 'Professional Rivalry', 'Other_Keywords', 'Inspired by a True Story', 'Same Actor, Multiple Roles']",['Original Screenplay'],['Live Action'],['Historical Fiction'],['United States'],25333333.0
115,Our Man Flint,['Not Rated'],"['Secret Agent', 'Spoof', 'Action Comedy', 'Other_Keywords']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],16000000.0
116,The Greatest Story Ever Told,['G'],"['Faith-Based Film', 'Other_Keywords', 'Religious']",['Based on Fiction Book/Short Story'],['Live Action'],['Historical Fiction'],['United States'],15473333.0
117,The Sandpiper,['Not Rated'],"['Romance', 'Romantic Drama', 'Single Parent', 'Other_Keywords']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],13691111.0
118,Do Not Disturb,['Not Rated'],"['Romance', 'Romantic Comedy', 'Relationships Gone Wrong', 'Infidelity']",['Based on Play'],['Live Action'],['Contemporary Fiction'],['United States'],8000000.0
119,The Agony and the Ecstasy,['Not Rated'],"['Biography', 'Artists', 'Biographical Drama', 'Religious', 'Other_Keywords']",['Based on Fiction Book/Short Story'],['Live Action'],['Dramatization'],"['United States', 'Italy']",8000000.0
